timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708785016916,144,3-GetOne,400,Bad Request,MAIN_TXN_UTG 1-5,text,false,,357,618,1,1,https://testslotegrator.com/api/automationTask/getOne,144,0,80
1708785017641,138,3-GetOne,400,Bad Request,MAIN_TXN_UTG 1-5,text,false,,357,618,1,1,https://testslotegrator.com/api/automationTask/getOne,138,0,83
1708785017995,138,3-GetOne,400,Bad Request,MAIN_TXN_UTG 1-5,text,false,,357,618,1,1,https://testslotegrator.com/api/automationTask/getOne,138,0,83
1708785018535,137,3-GetOne,400,Bad Request,MAIN_TXN_UTG 1-4,text,false,,357,618,2,2,https://testslotegrator.com/api/automationTask/getOne,137,0,83
